transaction_id,account_id,transaction_type,amount,transaction_date,is_fraud
70,536,POS Purchase,59.46,2025-08-27 00:21:59,0
71,494,Transfer,667.95,2026-06-14 08:20:59,0
72,572,POS Purchase,31.93,2025-08-05 11:20:59,0
73,518,Bill Payment,426.18,2026-03-19 15:43:59,0
74,329,Withdrawal,120.76,2025-12-25 18:42:59,0
75,564,Bill Payment,526.88,2026-01-31 17:44:59,0
76,587,Bill Payment,507.35,2025-08-24 02:07:59,0
77,510,Deposit,410.88,2025-08-30 23:05:59,0
78,563,Deposit,391.2,2025-08-25 06:18:59,0
79,521,POS Purchase,91.85,2025-10-23 07:21:59,0
80,350,Transfer,22.1,2025-08-05 18:33:59,0
81,574,POS Purchase,129.95,2026-05-13 02:24:59,0
82,464,Deposit,48.65,2025-08-28 07:53:59,0
83,364,Transfer,297.82,2026-04-16 03:02:59,0
84,47,Withdrawal,107.2,2026-03-18 15:31:59,0
85,420,Deposit,929.4,2025-11-17 05:51:59,0
86,403,Withdrawal,257.09,2026-02-28 17:24:59,0
87,425,Deposit,433.17,2026-05-30 08:16:59,0
88,462,Bill Payment,36.54,2026-06-12 05:11:59,0
89,511,Deposit,496.15,2026-04-07 09:42:59,0
90,444,POS Purchase,641.2,2026-03-14 03:28:59,0
91,182,POS Purchase,167.9,2025-10-06 10:31:59,0
92,397,POS Purchase,234.01,2026-05-15 21:11:59,0
93,429,POS Purchase,362.84,2026-06-28 17:56:59,0
94,352,Transfer,49.04,2026-02-25 14:47:59,0
95,525,Transfer,175.57,2026-07-04 04:34:59,0
96,567,Withdrawal,128.15,2025-10-19 17:18:59,0
97,354,Withdrawal,40.57,2026-07-08 06:50:59,0
98,653,Transfer,115.53,2026-07-07 14:27:59,0
99,492,POS Purchase,18.65,2026-04-28 08:24:59,0
100,547,Transfer,7.54,2026-02-10 11:12:59,0
101,391,Withdrawal,37.3,2025-08-06 07:42:59,0
102,165,Transfer,825.99,2026-06-23 18:48:59,0
103,303,Withdrawal,200.37,2026-04-12 12:01:59,0
104,105,POS Purchase,845.04,2026-06-20 10:14:59,0
105,663,POS Purchase,142.63,2026-01-24 18:11:59,0
106,295,Deposit,94.42,2026-01-20 23:05:59,0
107,321,POS Purchase,177.38,2025-08-05 11:26:59,0
108,636,Bill Payment,145.74,2025-11-02 07:24:59,0
109,377,POS Purchase,28.92,2026-04-15 10:17:59,0
110,199,Transfer,256.99,2026-02-23 16:22:59,0
111,178,POS Purchase,61.85,2025-09-08 22:41:59,0
112,570,Transfer,242.63,2025-09-13 16:16:59,0
113,6,Transfer,263.6,2026-03-05 09:38:59,0
114,158,Transfer,42.23,2026-05-10 12:28:59,0
115,631,Transfer,16.83,2026-03-18 05:14:59,0
116,326,POS Purchase,380.4,2025-10-29 16:12:59,0
117,518,Withdrawal,154.95,2026-02-07 04:13:59,0
118,358,Withdrawal,15.98,2025-10-27 08:00:59,0
119,301,Withdrawal,1318.98,2026-05-22 03:09:59,0
120,665,Deposit,15.88,2025-09-06 08:01:59,0
121,658,POS Purchase,297.89,2026-05-23 17:41:59,0
122,329,Bill Payment,1029.82,2025-09-05 22:55:59,0
123,290,Deposit,69.34,2026-03-30 22:11:59,0
124,457,Bill Payment,39.36,2025-07-31 20:36:59,0
125,329,POS Purchase,33.35,2025-08-20 13:49:59,0
126,551,POS Purchase,91.34,2025-07-13 06:43:59,0
127,645,Withdrawal,27.63,2026-06-25 00:32:59,0
128,551,Bill Payment,295.54,2026-06-05 13:26:59,0
129,25,Bill Payment,17.08,2025-12-25 11:44:59,0
130,183,Transfer,179.04,2026-04-20 13:15:59,0
131,265,Bill Payment,1429.22,2026-01-24 01:19:59,0
132,324,Deposit,421.46,2026-01-25 07:46:59,0
133,657,POS Purchase,239.77,2025-08-11 10:16:59,0
134,75,Transfer,92.41,2026-03-23 13:57:59,0
135,309,POS Purchase,245.47,2025-08-22 20:27:59,0
136,391,Bill Payment,188.19,2026-06-12 11:09:59,0
137,226,Withdrawal,139.82,2026-01-26 03:57:59,0
138,148,Transfer,36.02,2026-06-21 10:20:59,0
139,12,POS Purchase,545.22,2026-04-19 14:46:59,0
140,587,POS Purchase,150.36,2026-01-27 04:14:59,0
141,313,Withdrawal,55.11,2026-01-01 17:05:59,0
142,525,Withdrawal,115.62,2025-09-29 15:53:59,0
143,259,Withdrawal,134.66,2025-09-05 16:21:59,0
144,56,POS Purchase,440.39,2026-03-03 07:14:59,0
145,688,Deposit,331.7,2025-11-14 13:51:59,0
146,499,Transfer,367.66,2026-01-07 15:21:59,0
147,103,Transfer,3.77,2026-05-22 13:36:59,0
148,498,Bill Payment,135.53,2025-12-25 06:21:59,0
149,599,Withdrawal,165.13,2026-04-25 05:02:59,0
150,439,Withdrawal,5.84,2025-07-11 20:54:59,0
151,657,Bill Payment,76.21,2025-11-27 21:47:59,0
152,340,Bill Payment,358.08,2026-03-03 01:01:59,0
153,499,POS Purchase,37.87,2025-09-02 16:20:59,0
154,288,Withdrawal,192.6,2026-04-10 16:55:59,0
155,642,Deposit,61.58,2025-08-16 11:33:59,0
156,32,POS Purchase,4.05,2026-05-01 23:28:59,0
157,38,POS Purchase,70.0,2025-11-20 04:36:59,0
158,484,Withdrawal,932.11,2026-01-12 22:53:59,0
159,604,Transfer,405.29,2025-09-16 01:11:59,0
160,407,Transfer,803.09,2026-03-23 11:21:59,0
161,629,Withdrawal,168.29,2026-03-29 15:07:59,0
162,580,POS Purchase,30.06,2026-06-11 15:26:59,0
163,368,Deposit,199.5,2025-10-30 01:53:59,0
164,379,Withdrawal,152.46,2025-07-31 07:52:59,0
165,370,Bill Payment,466.05,2026-03-07 01:35:59,0
166,665,Transfer,26.81,2025-08-31 09:12:59,0
167,281,Transfer,168.48,2026-05-02 04:15:59,0
168,670,Bill Payment,41.64,2026-01-13 05:20:59,0
169,80,POS Purchase,99.14,2025-11-14 23:37:59,0
170,416,Transfer,335.24,2026-01-02 02:29:59,0
171,619,Deposit,162.57,2026-03-22 15:07:59,0
172,79,POS Purchase,118.86,2026-06-03 18:52:59,0
173,162,Transfer,126.42,2026-05-14 09:31:59,0
174,236,Bill Payment,154.79,2025-12-26 09:46:59,0
175,491,Bill Payment,385.3,2025-10-25 04:49:59,0
176,421,Deposit,557.6,2025-11-10 11:47:59,0
177,165,Withdrawal,778.14,2026-05-28 02:41:59,0
178,151,Deposit,387.5,2025-10-02 19:38:59,0
179,416,POS Purchase,95.73,2026-04-24 06:40:59,0
180,678,Transfer,292.3,2025-08-21 17:07:59,0
181,483,Bill Payment,144.89,2025-10-04 18:32:59,0
182,147,POS Purchase,74.48,2025-10-11 06:21:59,0
183,172,Transfer,460.51,2026-02-27 06:16:59,0
184,388,Bill Payment,10.8,2025-09-14 13:40:59,0
185,517,Bill Payment,581.09,2025-09-24 05:45:59,0
186,630,POS Purchase,155.73,2025-07-29 04:11:59,0
187,96,Bill Payment,254.48,2026-06-11 15:36:59,0
188,2,Bill Payment,270.23,2026-04-03 00:02:59,0
189,543,Bill Payment,564.73,2025-11-04 02:29:59,0
190,359,POS Purchase,254.11,2026-07-01 04:45:59,0
191,261,Bill Payment,238.94,2025-11-05 12:57:59,0
192,557,Bill Payment,18.24,2025-11-17 16:39:59,0
193,8,POS Purchase,183.66,2026-04-02 14:12:59,0
194,671,Withdrawal,41.68,2026-06-26 21:05:59,0
195,159,Bill Payment,335.31,2026-06-08 04:55:59,0
196,549,Bill Payment,180.47,2026-04-24 22:18:59,0
197,697,Bill Payment,286.04,2025-10-22 00:14:59,0
198,495,Withdrawal,11.64,2026-01-15 04:14:59,0
199,315,POS Purchase,23.15,2026-01-02 09:04:59,0
200,676,Deposit,315.98,2025-11-04 01:29:59,0
201,166,Deposit,19.7,2025-10-27 03:04:59,0
202,564,POS Purchase,19.48,2026-07-01 08:24:59,0
203,399,Deposit,4.05,2025-08-24 15:09:59,0
204,446,Deposit,784.76,2025-08-10 18:53:59,0
205,624,Deposit,335.38,2026-01-21 23:18:59,0
206,294,POS Purchase,109.95,2025-08-07 16:19:59,0
207,11,Withdrawal,88.93,2026-06-11 02:57:59,0
208,614,POS Purchase,108.58,2026-03-31 08:53:59,0
209,691,Deposit,373.53,2026-01-09 18:20:59,1
210,162,Deposit,271.71,2025-11-27 23:01:59,0
211,416,POS Purchase,52.2,2025-10-20 02:39:59,0
212,71,Deposit,48.82,2026-04-16 20:25:59,0
213,597,Transfer,26.89,2026-01-02 18:53:59,0
214,200,Bill Payment,270.93,2026-02-01 04:39:59,0
215,417,POS Purchase,362.38,2025-09-02 03:43:59,0
216,349,Deposit,77.99,2026-03-28 19:35:59,0
217,589,Transfer,6.29,2026-06-30 01:03:59,0
218,250,Transfer,22.44,2026-03-01 08:08:59,0
219,29,Bill Payment,860.41,2025-09-06 18:43:59,0
220,226,Withdrawal,88.55,2025-12-18 00:01:59,0
221,10,Transfer,367.58,2025-11-13 19:44:59,0
222,351,Deposit,245.98,2026-04-18 16:09:59,0
223,224,POS Purchase,121.29,2025-11-23 16:26:59,0
224,195,Bill Payment,58.57,2025-10-19 18:26:59,0
225,272,Withdrawal,33.35,2025-11-03 17:32:59,0
226,634,Transfer,239.64,2025-09-26 13:46:59,0
227,693,Bill Payment,373.51,2026-05-19 11:27:59,0
228,44,Bill Payment,259.14,2026-01-16 05:59:59,0
229,589,Transfer,189.92,2026-03-17 16:27:59,0
230,287,Bill Payment,11.71,2025-10-31 04:47:59,0
231,434,Bill Payment,865.35,2026-04-11 12:11:59,0
232,179,Bill Payment,401.76,2025-09-09 09:12:59,0
233,9,Deposit,87.62,2026-06-19 17:03:59,0
234,334,Transfer,978.64,2026-05-18 18:50:59,0
235,243,Transfer,231.25,2026-03-08 06:00:59,0
236,511,Bill Payment,219.32,2025-10-25 00:23:59,0
237,374,Bill Payment,345.65,2025-11-30 00:50:59,0
238,590,Withdrawal,418.52,2025-08-30 09:56:59,0
239,569,Bill Payment,268.13,2026-01-20 16:48:59,0
240,154,Bill Payment,35.27,2025-07-13 16:05:59,0
241,646,POS Purchase,104.22,2026-04-09 09:59:59,0
242,308,Transfer,659.06,2026-04-23 04:42:59,0
243,168,Deposit,64.6,2025-10-27 19:09:59,0
244,99,Bill Payment,117.37,2025-12-27 19:02:59,0
245,571,Transfer,142.44,2026-01-01 11:05:59,0
246,696,POS Purchase,145.69,2025-10-19 05:15:59,0
247,552,Withdrawal,238.29,2025-12-01 21:59:59,0
248,500,Bill Payment,717.51,2025-08-18 23:18:59,0
249,647,Withdrawal,69.84,2025-10-03 07:30:59,0
250,432,POS Purchase,33.39,2026-04-27 23:33:59,0
251,82,Withdrawal,56.0,2025-12-31 17:59:59,0
252,299,Transfer,545.93,2026-05-15 07:04:59,0
253,456,Transfer,260.48,2026-05-06 03:07:59,0
254,189,Deposit,85.19,2025-09-12 09:54:59,0
255,82,Withdrawal,424.13,2025-10-02 22:45:59,0
256,485,POS Purchase,494.99,2025-08-05 11:28:59,0
257,86,Deposit,469.54,2025-11-21 05:48:59,0
258,400,Transfer,629.1,2025-11-03 18:26:59,0
259,642,Withdrawal,73.67,2025-09-15 03:32:59,0
260,36,Transfer,352.67,2025-12-23 02:08:59,0
261,554,Transfer,155.3,2026-04-16 00:47:59,0
262,553,Withdrawal,462.29,2026-05-08 06:08:59,0
263,652,POS Purchase,326.94,2026-02-17 03:19:59,0
264,318,Transfer,375.53,2026-03-13 03:53:59,0
265,453,Transfer,267.9,2026-01-12 23:55:59,0
266,11,Deposit,49.83,2026-04-02 15:01:59,0
267,548,Deposit,197.88,2026-06-27 02:27:59,0
268,10,Bill Payment,1045.48,2025-12-06 05:53:59,0
269,562,Transfer,693.7,2025-10-14 00:35:59,0
270,405,Withdrawal,12.03,2025-10-01 09:26:59,0
271,388,Withdrawal,46.03,2025-11-20 13:06:59,0
272,530,POS Purchase,36.31,2026-06-30 07:56:59,0
273,545,Transfer,324.64,2026-02-05 17:33:59,0
274,140,Transfer,426.64,2025-09-04 07:08:59,0
275,279,POS Purchase,61.04,2026-03-17 16:59:59,0
276,51,POS Purchase,177.23,2025-07-20 15:45:59,0
277,129,Bill Payment,460.25,2025-07-13 17:44:59,0
278,506,Withdrawal,330.94,2025-12-31 23:58:59,0
279,511,Transfer,196.35,2026-03-04 09:29:59,0
280,83,Withdrawal,224.11,2025-08-06 19:28:59,0
281,557,Bill Payment,178.5,2025-10-09 17:36:59,0
282,391,Deposit,89.29,2025-09-10 08:54:59,0
283,454,Withdrawal,209.11,2025-07-26 17:08:59,0
284,97,POS Purchase,292.9,2026-06-14 17:09:59,0
285,320,Transfer,517.53,2025-09-29 07:25:59,0
286,563,POS Purchase,253.85,2025-09-09 19:09:59,0
287,204,Transfer,358.95,2025-08-05 07:52:59,0
288,242,Bill Payment,44.61,2025-12-22 10:49:59,0
289,599,Deposit,155.77,2026-01-27 17:39:59,0
290,596,Bill Payment,3.34,2026-06-27 05:48:59,0
291,92,Withdrawal,71.82,2025-09-28 01:44:59,0
292,347,Deposit,325.08,2025-08-08 22:20:59,0
293,550,Deposit,1202.21,2025-09-12 01:53:59,0
294,572,Transfer,27.11,2026-02-19 09:51:59,0
295,387,Transfer,129.33,2025-09-15 19:36:59,0
296,449,POS Purchase,403.45,2025-12-07 04:23:59,0
297,581,Withdrawal,58.05,2026-04-13 21:59:59,0
298,282,POS Purchase,203.47,2026-04-18 15:43:59,0
299,461,Transfer,331.19,2025-11-21 04:02:59,0
300,654,POS Purchase,240.27,2026-01-20 09:50:59,0
301,635,Transfer,53.07,2026-05-22 17:59:59,0
302,675,POS Purchase,110.78,2026-01-23 17:12:59,0
303,565,Withdrawal,383.88,2026-05-18 19:59:59,0
304,330,Deposit,202.99,2025-08-28 03:21:59,0
305,133,Withdrawal,2.31,2025-07-25 16:45:59,0
306,102,Deposit,358.81,2026-04-28 07:32:59,0
307,502,POS Purchase,9.99,2026-05-25 09:16:59,0
308,376,Withdrawal,343.34,2026-05-16 08:43:59,0
309,214,Bill Payment,57.56,2025-08-19 01:30:59,0
310,370,POS Purchase,793.96,2026-02-06 22:29:59,0
311,632,Transfer,115.69,2026-04-05 12:25:59,0
312,312,Deposit,99.98,2025-10-28 02:45:59,0
313,237,POS Purchase,41.3,2026-01-22 16:51:59,0
314,255,POS Purchase,92.18,2026-05-25 16:14:59,0
315,426,Deposit,524.18,2026-06-01 05:01:59,0
316,682,Bill Payment,1403.19,2025-08-31 16:29:59,0
317,412,POS Purchase,115.84,2025-12-29 07:49:59,0
318,615,Bill Payment,149.83,2026-01-05 21:14:59,0
319,333,Transfer,321.1,2026-02-06 07:06:59,0
320,332,POS Purchase,544.32,2025-11-10 05:13:59,0
321,564,Transfer,225.76,2026-01-10 01:07:59,0
322,1,Deposit,125.2,2025-12-02 05:40:59,0
323,310,Deposit,134.02,2025-12-09 17:52:59,0
324,23,Transfer,298.37,2026-04-19 03:14:59,0
325,586,Withdrawal,1.81,2025-08-26 12:08:59,0
326,142,Transfer,242.63,2026-01-13 04:54:59,0
327,308,Deposit,110.82,2026-04-27 23:15:59,0
328,80,Transfer,396.21,2026-03-13 16:10:59,0
329,591,Deposit,25.4,2026-05-10 06:58:59,0
330,591,Bill Payment,222.81,2025-08-18 12:37:59,0
331,357,Bill Payment,164.95,2026-02-07 14:34:59,0
332,669,POS Purchase,258.03,2025-07-15 07:28:59,0
333,56,Transfer,17.76,2026-04-03 11:59:59,0
334,154,Transfer,217.87,2026-03-24 08:53:59,0
335,690,Bill Payment,207.09,2026-02-23 06:15:59,0
336,228,Bill Payment,206.62,2025-12-04 22:48:59,0
337,85,Bill Payment,232.26,2026-04-28 09:42:59,0
338,269,Deposit,283.11,2026-01-30 03:06:59,0
339,134,Withdrawal,409.67,2026-03-13 03:51:59,0
340,668,POS Purchase,79.62,2025-10-18 04:18:59,0
341,537,Withdrawal,436.81,2025-11-10 12:56:59,0
342,332,POS Purchase,173.42,2025-08-23 14:21:59,0
343,375,Transfer,21.05,2025-10-14 21:01:59,0
344,25,Transfer,16.08,2025-10-03 22:18:59,0
345,453,POS Purchase,102.71,2025-09-22 00:41:59,0
346,240,Withdrawal,385.16,2026-06-24 21:48:59,0
347,88,Deposit,308.48,2025-08-05 18:18:59,0
348,295,Deposit,389.52,2026-01-01 09:30:59,0
349,461,Bill Payment,183.07,2025-07-20 20:52:59,0
350,217,Withdrawal,146.04,2026-04-15 03:27:59,0
351,495,POS Purchase,40.88,2025-09-20 09:23:59,0
352,386,POS Purchase,100.45,2026-06-14 02:41:59,0
353,62,Transfer,143.3,2025-10-20 09:18:59,0
354,477,Deposit,24.19,2025-08-12 23:21:59,0
355,676,Transfer,63.31,2025-09-02 10:57:59,0
356,665,Bill Payment,228.97,2025-11-04 23:11:59,0
357,102,Transfer,333.63,2026-03-15 06:13:59,0
358,204,POS Purchase,1602.37,2026-03-01 04:38:59,0
359,41,Withdrawal,677.19,2026-04-06 20:00:59,0
360,161,Deposit,258.2,2026-01-03 08:01:59,0
361,310,Withdrawal,137.72,2026-03-22 19:30:59,0
362,264,Bill Payment,253.77,2025-07-25 03:56:59,0
363,350,Bill Payment,386.04,2026-06-10 14:44:59,0
364,534,POS Purchase,32.489999999999995,2026-05-26 07:53:59,0
365,587,Withdrawal,132.87,2026-02-12 20:37:59,0
366,460,POS Purchase,458.84,2025-09-14 17:20:59,0
367,555,Withdrawal,122.06,2025-09-17 20:23:59,0
368,537,Withdrawal,213.08,2026-02-14 15:20:59,0
369,162,Transfer,222.54,2025-08-13 04:13:59,0
370,122,Withdrawal,51.98,2025-12-18 15:25:59,0
371,327,Bill Payment,113.45,2026-02-04 20:07:59,0
372,653,Transfer,102.81,2025-09-24 16:45:59,0
373,27,POS Purchase,7.64,2026-05-20 19:17:59,0
374,237,POS Purchase,7.12,2025-11-04 18:22:59,0
375,82,Bill Payment,446.5,2025-09-16 03:33:59,0
376,666,Transfer,80.73,2025-10-11 23:10:59,0
377,168,Withdrawal,183.49,2025-11-01 12:05:59,0
378,16,Transfer,89.71,2026-02-05 18:26:59,0
379,208,Withdrawal,707.2,2025-08-11 16:38:59,0
380,450,POS Purchase,76.04,2026-03-17 08:59:59,0
381,253,Bill Payment,141.38,2026-02-01 12:17:59,0
382,390,Transfer,516.36,2026-01-27 06:26:59,0
383,550,POS Purchase,462.18,2026-06-03 09:29:59,0
384,112,Bill Payment,52.48,2026-02-27 12:35:59,0
385,532,POS Purchase,406.69,2026-01-28 09:41:59,0
386,529,Deposit,154.21,2025-10-14 20:07:59,0
387,312,Transfer,165.91,2026-03-02 16:06:59,0
388,56,POS Purchase,36.82,2025-09-20 01:32:59,0
389,93,POS Purchase,22.01,2025-09-04 16:28:59,0
390,560,Withdrawal,326.43,2026-01-26 23:59:59,0
391,184,Bill Payment,172.52,2026-05-08 09:36:59,0
392,466,Deposit,144.55,2025-11-14 21:23:59,0
393,168,Deposit,327.88,2025-08-24 14:24:59,0
394,372,Deposit,363.59,2026-04-04 09:03:59,0
395,524,POS Purchase,44.26,2025-09-28 23:14:59,0
396,175,Transfer,236.55,2026-04-25 08:34:59,0
397,149,Withdrawal,37.36,2026-07-08 12:05:59,0
398,457,Transfer,348.95,2026-05-25 15:46:59,0
399,208,Deposit,268.47,2026-05-23 18:39:59,0
400,511,POS Purchase,785.41,2025-07-12 06:35:59,0
401,223,POS Purchase,18.86,2026-06-12 02:08:59,0
402,82,POS Purchase,15.69,2026-05-12 10:54:59,0
403,285,POS Purchase,83.89,2026-05-27 04:31:59,0
404,51,Withdrawal,76.85,2025-09-22 12:20:59,0
405,149,Deposit,71.92,2026-06-16 05:32:59,0
406,340,Deposit,592.79,2025-08-03 14:05:59,0
407,166,Transfer,72.77,2026-05-18 08:23:59,0
408,587,POS Purchase,80.35,2025-10-08 01:26:59,0
409,37,Deposit,357.15,2025-12-09 21:02:59,0
410,70,Bill Payment,150.34,2026-04-16 12:57:59,0
411,125,Transfer,375.82,2025-12-25 03:05:59,0
412,215,POS Purchase,17.9,2025-08-07 14:15:59,0
413,645,POS Purchase,168.15,2025-08-23 02:25:59,0
414,295,Bill Payment,9.55,2026-05-16 20:55:59,0
415,639,Transfer,17.18,2025-09-14 06:15:59,0
416,648,Bill Payment,593.28,2026-03-18 16:35:59,0
417,298,Withdrawal,38.49,2025-07-09 13:40:59,0
418,121,Withdrawal,191.05,2026-05-21 00:05:59,0
419,359,POS Purchase,133.37,2026-05-31 16:39:59,0
420,289,Transfer,107.68,2025-08-12 19:58:59,0
421,332,Deposit,576.23,2025-09-06 08:00:59,0
422,583,POS Purchase,6.52,2025-07-23 15:51:59,0
423,347,Bill Payment,273.5,2026-03-08 12:20:59,0
424,160,Bill Payment,827.89,2026-04-09 21:08:59,0
425,424,Deposit,206.34,2026-04-01 20:15:59,0
426,324,POS Purchase,691.45,2026-04-09 10:52:59,0
427,340,Transfer,14.42,2025-08-11 14:56:59,0
428,348,Bill Payment,136.66,2026-05-26 04:32:59,0
429,621,Bill Payment,76.33,2025-10-13 05:46:59,0
430,316,Transfer,329.09,2026-07-07 11:56:59,0
431,509,Withdrawal,995.77,2026-01-16 01:32:59,0
432,222,POS Purchase,75.11,2025-12-10 15:46:59,0
433,39,Withdrawal,266.46,2025-08-26 01:11:59,1
434,495,POS Purchase,56.19,2025-09-25 17:00:59,0
435,537,Transfer,209.29,2025-12-23 15:28:59,0
436,529,Withdrawal,156.87,2025-10-23 09:41:59,0
437,535,Deposit,894.94,2025-07-11 20:38:59,0
438,609,Deposit,235.46,2025-12-27 01:35:59,0
439,534,Transfer,108.51,2025-07-21 05:27:59,0
440,215,Transfer,31.29,2025-10-19 16:57:59,0
441,327,Bill Payment,42.0,2026-06-17 13:56:59,0
442,281,Deposit,64.83,2025-07-17 06:14:59,0
443,212,POS Purchase,73.24,2026-01-05 03:59:59,0
444,291,POS Purchase,476.31,2025-11-11 15:43:59,0
445,347,POS Purchase,206.94,2026-02-21 11:47:59,0
446,692,Deposit,186.26,2025-09-01 22:42:59,0
447,402,Withdrawal,31.48,2026-07-05 06:36:59,0
448,457,POS Purchase,492.78,2026-01-07 20:00:59,0
449,687,POS Purchase,321.77,2025-08-19 01:15:59,0
450,480,Deposit,18.52,2026-02-27 20:22:59,0
451,477,Bill Payment,308.61,2025-11-04 17:48:59,0
452,632,Transfer,197.06,2026-01-11 22:50:59,0
453,682,Transfer,22.31,2025-12-23 01:10:59,1
454,487,Deposit,154.26,2026-01-05 02:08:59,0
455,290,Transfer,166.75,2026-05-15 04:47:59,0
456,416,Deposit,46.31,2025-12-23 04:20:59,0
457,310,POS Purchase,729.3,2026-03-02 23:16:59,0
458,636,Withdrawal,475.24,2026-04-15 16:09:59,0
459,349,Withdrawal,277.43,2026-06-30 05:06:59,0
460,446,POS Purchase,156.11,2026-01-01 04:23:59,0
461,679,Deposit,133.66,2026-07-09 05:32:59,0
462,607,POS Purchase,264.15,2026-03-03 21:14:59,0
463,456,Withdrawal,198.1,2025-12-13 22:43:59,0
464,611,Bill Payment,17.07,2025-12-24 02:20:59,0
465,93,Withdrawal,180.62,2025-09-19 05:36:59,0
466,1,Withdrawal,411.49,2026-06-12 15:07:59,0
467,400,POS Purchase,154.69,2026-05-01 00:51:59,0
468,325,Transfer,14.34,2026-04-27 07:58:59,0
469,446,Transfer,386.77,2025-08-24 04:39:59,0
470,523,Bill Payment,57.21,2025-09-12 19:42:59,0
471,563,Deposit,75.81,2025-07-10 09:14:59,0
472,368,Deposit,45.99,2025-11-30 10:54:59,0
473,605,Bill Payment,101.2,2026-05-25 21:24:59,0
474,391,Bill Payment,354.42,2026-04-14 17:21:59,0
475,143,Withdrawal,184.17,2026-04-19 23:32:59,0
476,428,Withdrawal,58.32,2025-12-04 07:47:59,0
